ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
KMX,Consumer Cyclical,9043338240.0,0.12472,0.08969,309.961,156500000.0
CCL,Consumer Cyclical,40310308864.0,0.54701,0.30021998,286.33,1297000000.0
CARR,Industrials,68396908544.0,0.26773,0.11125,81.85,44000000.0
CAT,Industrials,203999166464.0,0.31844,0.55646,213.547,8820000000.0
CBOE,Financial Services,25292378112.0,0.49293,0.19018,36.019,1039700000.0
CBRE,Real Estate,43690266624.0,0.19610001,0.11921,100.422,1401000000.0
CDW,Technology,23937699840.0,0.21858999,0.48707,272.795,1154700000.0
COR,Healthcare,55472148480.0,0.03295,1.4178,827.73,2997512000.0
CNC,Healthcare,13191832576.0,0.12684,0.07442,63.909,-490000000.0
CNP,Utilities,24351864832.0,0.442,0.08759,196.188,-2374000000.0
CF,Basic Materials,14990785536.0,0.36205003,0.20794001,45.169,1750000000.0
CRL,Healthcare,8791219200.0,0.34686002,-0.00671,92.213,501610000.0
SCHW,Financial Services,177899536384.0,0.97193,,110.198,2050000000.0
CHTR,Communication Services,40740999168.0,0.55174,0.32652,472.717,3161000000.0
CVX,Energy,317753163776.0,0.38939,0.10079,19.777,15044000000.0
CMG,Consumer Cyclical,60151877632.0,0.40165,0.42593,135.497,1511473000.0
CB,Financial Services,106039836672.0,0.27835,0.13627,23.288,16182000000.0
CHD,Consumer Defensive,23563782144.0,0.45507,0.13354999,52.837,976400000.0
CI,Healthcare,78109949952.0,0.102539994,0.13206,75.34,8957000000.0
CINF,Financial Services,22992318464.0,0.17898001,0.10974,6.4,2627000000.0
CTAS,Industrials,88801681408.0,0.50039,0.40269002,56.665,1670312000.0
CSCO,Technology,268963184640.0,0.65245,0.21356001,66.932,10210000000.0
C,Financial Services,176855400448.0,0.0,0.06759,,-26169000000.0
CFG,Financial Services,21348495360.0,0.0,0.064840004,,1879000000.0
CLX,Consumer Defensive,15682711552.0,0.45078,3.18652,1549.474,483000000.0
CME,Financial Services,98787360768.0,1.0,0.13612,13.603,3596500000.0
CMS,Utilities,21339504640.0,0.42615002,0.11234,190.138,-808000000.0
KO,Consumer Defensive,293036851200.0,0.61425,0.42369998,166.367,4741000000.0
CTSH,Technology,37177683968.0,0.34254003,0.16605,7.913,1827000000.0
COIN,Financial Services,96657997824.0,0.85248,0.15841,43.892,2556844000.0
CL,Consumer Defensive,70077014016.0,0.60806,4.51259,1128.104,3546000000.0
CMCSA,Communication Services,125190963200.0,0.70364,0.18049,113.542,12543000000.0
CAG,Consumer Defensive,9166906368.0,0.25955,0.13214,93.036,1302600000.0
