ticker,analog_year,rev_cagr_3y,rev_cagr_5y,fcf_cagr_3y,fcf_cagr_5y,gross_margin_last,net_margin_last,fcf_last,revenue_last,net_income_last,leverage_ratio,label_horizon,ape_3y,ape_5y,ape_7y,ape_10y
ADI,2021,,,0.14180461283729695,,,,4582992000.0,,1635273000.0,,3,0.1035449861200486,0.22081198525500595,0.3035141703654298,0.3808204432761375
AMD,2021,,,-0.012809465888293903,,,,3677000000.0,,1641000000.0,,3,0.731246649792854,0.739934576892094,0.7451734521987345,0.7494672754320915
ASML,2021,,,0.040529312117819405,,,,13233400000.0,,7571600000.0,,10,0.23550746859852645,0.2251279753406663,0.218511513198341,0.21283242693391097
AVGO,2021,,,0.13019771946723457,,,,20510000000.0,,5895000000.0,,3,0.45286325010127976,0.591297734150682,0.6878308131415738,0.7772011502419472
CRUS,2021,,,0.4574519096664651,,,,467142000.0,,331507000.0,,3,2.5135788165174273,4.053320723403204,5.495070762559475,7.222675845457263
INFU,2021,,,0.030692684317879193,,,,38292000.0,,2345000.0,,3,0.7038246852541226,0.7122704508657153,0.7176000409073124,0.7221360940236234
INTC,2021,,,-0.13490676810170799,,,,32232000000.0,,-18756000000.0,,10,0.5187921462331023,0.32234124425990535,0.21872667565918574,0.14258227072502777
KLAC,2021,,,0.06898803108847651,,,,4422112000.0,,4061643000.0,,3,0.43765700706234917,0.49358569484868375,0.5302855497129902,0.5625599774430963
LRCX,2021,,,0.2388962970886772,,,,6932450000.0,,5358217000.0,,3,1.2130409320721771,1.65922971424743,2.0042015887233884,2.3532002027363603
MCHP,2021,,,-0.3168969490962097,,,,1024100000.0,,-500000.0,,3,0.8490874332786335,0.8869243912846559,0.902942808167623,0.9128489360184421
MRVL,2021,,,0.25753732925149775,,,,1965800000.0,,-885000000.0,,5,0.21054768291277223,0.03637167119934655,0.10062030998109969,0.2412912442067557
NXPI,2021,,,-0.03646925079002672,,,,2782000000.0,,2510000000.0,,3,0.2662428712419865,0.30441318024897573,0.32685748014547683,0.3448750351414574
ON,2021,,,0.04572277251005441,,,,2600400000.0,,1572800000.0,,3,0.6967568204957222,0.7275630287787676,0.747305365544847,0.7643262768814806
QCOM,2021,,,0.021507701891090525,,,,13243000000.0,,10142000000.0,,10,0.07890831800460205,0.0756398654358192,0.0735968522238077,0.0718717349368131
SMTC,2021,,,-0.3402536654819205,,,,65848000.0,,-161896000.0,,3,0.9446119756515592,0.9592354566547605,0.9652419969649247,0.9688717851146986
STM,2021,,,0.0729797637138716,,,,6053000000.0,,1557000000.0,,3,1.3423727229805802,1.4419247859743742,1.5075134390729823,1.5653887228358188
SWKS,2021,,,-0.0608752070231422,,,,2007800000.0,,596000000.0,,10,0.17911039862273417,0.09433931911333872,0.04579019524251721,0.0076495233926330355
TXN,2021,,,-0.002382805241406105,,,,11138000000.0,,4799000000.0,,3,0.019022658764126343,0.04209162737036667,0.05615613368949363,0.06778880605864027
